NM_MUN,year,area_km
Monte Alegre,2017.0,31.1647625088447
Monte Alegre,2018.0,11.772257382663412
Monte Alegre,2019.0,25.78491826542801
Monte Alegre,2020.0,33.33363659938907
Monte Alegre,2021.0,37.944601305324724
Monte Alegre,2022.0,38.22045452164785
Monte Alegre,2023.0,16.513382563384276
Muaná,2009.0,0.753689681464881
Muaná,2010.0,1.898611801212367
Muaná,2011.0,0.123626911166147
Muaná,2012.0,0.092456291747193
Muaná,2018.0,0.260087370948396
Muaná,2020.0,0.093134703261482
Muaná,2021.0,0.304042969933298
Muaná,2022.0,0.12818186758494898
Mãe do Rio,2008.0,0.287345006288774
Mãe do Rio,2011.0,0.06463711381434
Mãe do Rio,2015.0,0.25800072746549396
Mãe do Rio,2016.0,0.430410049541336
Mãe do Rio,2017.0,0.367416074637909
Mãe do Rio,2020.0,0.206185196292956
Mãe do Rio,2023.0,0.06779977289163
Nova Esperança do Piriá,2008.0,17.419984346393594
Nova Esperança do Piriá,2009.0,63.27887330089122
Nova Esperança do Piriá,2010.0,10.382363849115693
Nova Esperança do Piriá,2011.0,33.91269431942479
Nova Esperança do Piriá,2012.0,2.771852502575319
Nova Esperança do Piriá,2013.0,7.300195289946803
Nova Esperança do Piriá,2014.0,14.510609881652591
Nova Esperança do Piriá,2015.0,2.891697001780133
Nova Esperança do Piriá,2016.0,7.727650344372096
Nova Esperança do Piriá,2017.0,5.515435720582276
Nova Esperança do Piriá,2018.0,4.681868289916326
Nova Esperança do Piriá,2019.0,4.47538459453212
Nova Esperança do Piriá,2020.0,7.905472845352543
Nova Esperança do Piriá,2021.0,3.2345834000022027
Nova Esperança do Piriá,2022.0,8.180345923217308
Nova Esperança do Piriá,2023.0,5.664096413451238
Nova Ipixuna,2008.0,10.808048192041491
Nova Ipixuna,2009.0,10.234900693991255
Nova Ipixuna,2010.0,7.2903599928811
Nova Ipixuna,2011.0,5.324462064400257
Nova Ipixuna,2012.0,2.577202959212668
Nova Ipixuna,2013.0,2.198235813006126
Nova Ipixuna,2014.0,2.07146381957514
Nova Ipixuna,2015.0,3.765183766141637
Nova Ipixuna,2016.0,4.48565238577568
Nova Ipixuna,2017.0,3.981051026811485
Nova Ipixuna,2018.0,2.938695820261982
Nova Ipixuna,2019.0,6.129553839529467
Nova Ipixuna,2020.0,6.541424690480595
Nova Ipixuna,2021.0,3.665471575667847
Nova Ipixuna,2022.0,4.091958670131625
Nova Ipixuna,2023.0,2.6374815996204517
Nova Timboteua,2008.0,2.325814428322756
Nova Timboteua,2009.0,0.345370950346305
Nova Timboteua,2010.0,0.175473841885944
Nova Timboteua,2011.0,0.19219397348157502
Nova Timboteua,2012.0,0.079360315459822
Nova Timboteua,2013.0,0.405165008139057
Nova Timboteua,2015.0,0.285808751981787
Nova Timboteua,2016.0,0.468582731024707
Nova Timboteua,2017.0,0.606438318925568
Nova Timboteua,2018.0,0.536140000826825
Nova Timboteua,2020.0,0.071364175089667
Nova Timboteua,2022.0,0.096250359481648
Nova Timboteua,2023.0,0.416515128751491
Novo Progresso,2008.0,238.27825575547308
Novo Progresso,2009.0,322.9284993097972
Novo Progresso,2010.0,53.887489479376576
Novo Progresso,2011.0,53.80893119899892
Novo Progresso,2012.0,74.6122308743322
Novo Progresso,2013.0,168.60160291297146
Novo Progresso,2014.0,125.04700131981296
Novo Progresso,2015.0,173.20686612865205
Novo Progresso,2016.0,141.77921145010663
Novo Progresso,2017.0,61.31669819636063
Novo Progresso,2018.0,193.66510250463466
Novo Progresso,2019.0,203.53112818545733
Novo Progresso,2020.0,522.9085385747255
Novo Progresso,2021.0,421.925648022798
Novo Progresso,2022.0,265.0830341966219
Novo Progresso,2023.0,97.37783678206313
Novo Repartimento,2008.0,490.55280293723354
Novo Repartimento,2009.0,289.23585835006634
Novo Repartimento,2010.0,224.27993796648536
Novo Repartimento,2011.0,182.32681222259424
Novo Repartimento,2012.0,121.15953625237483
Novo Repartimento,2013.0,152.50670243832573
Novo Repartimento,2014.0,78.13875188387523
Novo Repartimento,2015.0,74.30233837790765
Novo Repartimento,2016.0,226.82692316537776
Novo Repartimento,2017.0,123.40990833072692
Novo Repartimento,2018.0,169.50371159710645
Novo Repartimento,2019.0,144.77658866429908
Novo Repartimento,2020.0,160.61791543035406
Novo Repartimento,2021.0,196.3355774425939
Novo Repartimento,2022.0,110.24844082233864
Novo Repartimento,2023.0,109.2993449935836
Oeiras do Pará,2008.0,4.8942290286035774
Oeiras do Pará,2009.0,8.07334918128275
Oeiras do Pará,2010.0,57.04514225051817
Oeiras do Pará,2011.0,6.504634662070133
Oeiras do Pará,2012.0,3.249801708013682
Oeiras do Pará,2013.0,2.330661227716794
Oeiras do Pará,2014.0,1.868780153404006
Oeiras do Pará,2015.0,1.996975575686794
Oeiras do Pará,2016.0,3.6222430096256177
Oeiras do Pará,2017.0,7.501540454595092
Oeiras do Pará,2018.0,1.89261617782459
Oeiras do Pará,2019.0,2.946135757305678
Oeiras do Pará,2020.0,2.583415262990566
Oeiras do Pará,2021.0,10.662660245640012
Oeiras do Pará,2022.0,3.359763893461705
Oeiras do Pará,2023.0,2.532297656314084
Oriximiná,2008.0,29.52525275469331
Oriximiná,2009.0,18.131959295579364
Oriximiná,2010.0,37.67341825282408
Oriximiná,2011.0,12.501268587454492
Oriximiná,2012.0,4.995511780831199
Oriximiná,2013.0,10.833384302317413
Oriximiná,2014.0,10.657634421908314
Oriximiná,2015.0,15.047396281668576
Oriximiná,2016.0,12.900083159781895
Oriximiná,2017.0,11.804291798198191
Oriximiná,2018.0,15.100264748261788
Oriximiná,2019.0,21.429994301934663
Oriximiná,2020.0,25.35917331588808
Oriximiná,2021.0,17.563073275325497
Oriximiná,2022.0,14.90342357473455
Oriximiná,2023.0,15.54583620687779
Ourilândia do Norte,2008.0,22.0251041412522
Ourilândia do Norte,2009.0,7.663155326085434
Ourilândia do Norte,2010.0,3.243523173886972
Ourilândia do Norte,2011.0,5.826140265288087
Ourilândia do Norte,2012.0,4.91095010146554
Ourilândia do Norte,2013.0,4.883615876212467
Ourilândia do Norte,2014.0,5.8308570904536445
Ourilândia do Norte,2015.0,5.417866776284676
Ourilândia do Norte,2016.0,8.578319753180171
Ourilândia do Norte,2017.0,13.715743752867654
Ourilândia do Norte,2018.0,8.770533682448622
Ourilândia do Norte,2019.0,17.716269595239883
Ourilândia do Norte,2020.0,18.976726564807922
Ourilândia do Norte,2021.0,16.40016219085398
Ourilândia do Norte,2022.0,8.199433003855649
Ourilândia do Norte,2023.0,9.771755041364283
Ourém,2008.0,6.946997892041339
Ourém,2009.0,1.978388960405608
Ourém,2010.0,0.164137267232132
Ourém,2011.0,1.265443665885305
Ourém,2013.0,0.082805703584021
Ourém,2014.0,0.096975258258375
Ourém,2015.0,0.333474629202916
Ourém,2016.0,0.6903456577770599
Ourém,2017.0,0.5971632315441759
Ourém,2018.0,0.410247662013077
Ourém,2019.0,0.30324591067095596
Ourém,2020.0,0.33352186428644803
Ourém,2021.0,0.423570196595311
Ourém,2023.0,0.47450541399213897
Pacajá,2008.0,262.26438346283624
Pacajá,2009.0,101.8046415708754
Pacajá,2010.0,277.9681567218396
Pacajá,2011.0,201.43250684400388
Pacajá,2012.0,34.09571140301574
Pacajá,2013.0,30.019144456951523
Pacajá,2014.0,79.554567547927
Pacajá,2015.0,166.61599681714742
Pacajá,2016.0,142.27615237059644
Pacajá,2017.0,184.4489085194956
Pacajá,2018.0,131.2791847586934
Pacajá,2019.0,324.0204551473964
Pacajá,2020.0,252.93688422768327
Pacajá,2021.0,267.76684180725067
Pacajá,2022.0,226.4749778130561
Pacajá,2023.0,188.49039538835402
Palestina do Pará,2008.0,8.121514586512216
Palestina do Pará,2009.0,2.95285667591589
Palestina do Pará,2010.0,4.519482468978922
Palestina do Pará,2011.0,1.019100552088988
Palestina do Pará,2012.0,1.21108885715911
Palestina do Pará,2013.0,1.866161330288947
Palestina do Pará,2014.0,1.745513663520069
Palestina do Pará,2015.0,1.223653005218823
Palestina do Pará,2016.0,2.331206569559586
Palestina do Pará,2017.0,1.322191592602243
Palestina do Pará,2018.0,0.772542772721896
Palestina do Pará,2019.0,1.155566203570942
Palestina do Pará,2020.0,1.054168138493992
Palestina do Pará,2021.0,1.127575738283338
Palestina do Pará,2022.0,0.74362571938352
Palestina do Pará,2023.0,0.256971056834708
Paragominas,2008.0,63.65464432766435
Paragominas,2009.0,120.43969351156035
Paragominas,2010.0,68.23499886542145
Paragominas,2011.0,35.28099645652443
Paragominas,2012.0,17.080392992718515
Paragominas,2013.0,30.588031873225606
Paragominas,2014.0,19.959306601417428
Paragominas,2015.0,24.09242762816498
Paragominas,2016.0,19.994520285845564
Paragominas,2017.0,19.640937420248665
Paragominas,2018.0,18.18445863677304
Paragominas,2019.0,25.8467835143493
Paragominas,2020.0,19.732834328619287
